PLAN_ID,PARTY_ID,ID_PILAR,PROYECTO,APROPIACION_DEFINITIVA,COMPROMISOS
5774,5802,5780,P6. Acompa帽amiento al desarrollo del egresado,"$ 53,010,860","$ 53,010,860"
5774,5803,5780,P7. Vinculaci贸n de los egresados a los procesos institucionales,"$ 101,008,940","$ 101,008,940"
5774,5804,5780,P8. Aseguramiento de la infraestructura tecnologica para soportar los procesos de formaci贸n con TIC,"$ 778,660,142","$ 354,085,461"
5774,5805,5780,P9. Desarrollo de Ecosistemas TIC enfocados a experiencias y ambientes educativos interactivos,"$ 7,313,920",$ 0
5774,5806,5780,P10. Formaci贸n Acad茅mica mediada por ambientes virtuales,"$ 26,977,095","$ 16,785,179"
5774,5807,5780,P11. Capacidad acad茅mica y administrativa que garantice la proyecci贸n de la Educaci贸n Superior con TIC,"$ 5,918,982","$ 5,918,982"
5774,5813,5781,P12. Fortalecimiento de la Investigaci贸n Institucional,"$ 1,279,830,196","$ 1,272,310,259"
5774,5814,5781,P13. Internacionalizaci贸n de la Investigaci贸n Innovaci贸n y Extensi贸n,"$ 17,504,000","$ 17,504,000"
5774,5815,5781,P14. Fomento y Fortalecimiento de la Extensi贸n Universitaria,"$ 448,265,306","$ 353,038,636"
5774,5816,5781,P15. Promoci贸n comercializaci贸n y transferencia de capacidades institucionales a trav茅s de la prestaci贸n de Servicios de Extensi贸n,"$ 392,809,669","$ 387,526,085"
5774,5817,5781,P16. Vinculaci贸n de los estudiantes en el entorno a trav茅s de las pr谩cticas universitarias,"$ 22,660,000","$ 22,660,000"
5774,5818,5781,P17. Consolidaci贸n de las capacidades institucionales para la Gesti贸n del conocimiento Innovaci贸n y Emprendimiento,"$ 312,885,001","$ 304,453,514"
5774,5819,5781,P18. Centro de innovaci贸n y desarrollo tecnol贸gico,$ 0,$ 0
5774,5820,5781,P19. Nodo de Innovaci贸n en Biodiversidad,$ 0,$ 0
5774,5821,5781,P20. Implementaci贸n del Centro de Desarrollo Tecnol贸gico con Enfoque en Agroindustria para el Departamento De Risaralda,"$ 70,000,000","$ 69,162,950"
5774,5827,5782,P21. Articulaci贸n interna para la participaci贸n en escenarios externos y el desarrollo profesional del egresado,"$ 108,227,951","$ 108,227,951"
5774,5828,5782,P22. Banco de proyectos para la gesti贸n institucional,"$ 91,815,466","$ 91,815,466"
5774,5829,5782,P23. UTP como territorio de paz convivencia ciudadan铆a y democracia,"$ 15,316,835",$ 0
5774,5830,5782,P24. Ofertas acad茅micas gesti贸n de proyectos y alianzas para la ciudadan铆a la convivencia la democracia y la paz,"$ 21,689,870","$ 5,000,000"
5774,5831,5782,P25. Procesos de gesti贸n que aportan a la integraci贸n acad茅mica el desarrollo sostenible y la competitividad nacional,"$ 122,297,365","$ 121,656,158"
5774,5832,5782,P26. Movilizaci贸n social para la articulaci贸n de capacidades del territorio,"$ 634,086,703","$ 270,282,289"
5774,5833,5782,P27. Cooperaci贸n y movilidad nacional e internacional,"$ 78,560,560","$ 58,819,333"
5774,5834,5782,P28. Internacionalizaci贸n en casa,"$ 194,473,340","$ 176,376,433"
5774,5841,5783,P29. Sistema de Informaci贸n Institucional,"$ 1,828,849,934","$ 7,342,382,385"
5774,5842,5783,P30. Sostenibilidad de la Infraestructura Tecnol贸gica,"$ 6,134,932,531",
5774,5843,5783,P31. Gesti贸n y sostenibilidad ambiental en el campus UTP,"$ 134,861,748","$ 134,205,798"
5774,5844,5783,P32. Gesti贸n integral de la infraestructura f铆sica,"$ 26,535,941,445","$ 23,990,647,173"
5774,5845,5783,P33. Gesti贸n y sostenibilidad de recursos,"$ 30,900,000","$ 1,581,998"
5774,5846,5783,P34. Eficiencia en el uso de los recursos,"$ 20,600,000",$ 0
5774,5847,5783,P35. Gesti贸n del Desarrollo Humano,"$ 466,100,933","$ 466,100,933"
5774,5848,5783,P36. Modernizaci贸n y Desarrollo Organizacional,"$ 74,389,919","$ 12,574,320"
5774,5850,5783,P37. Consolidaci贸n de los Sistemas de Gesti贸n,"$ 24,873,248","$ 24,873,248"
5774,5851,5783,P38. Transparencia gobernanza y legalidad,"$ 61,858,866","$ 61,858,866"
5774,5852,5783,P39. Gesti贸n de la Comunicaci贸n y Promoci贸n Institucional,$ 0,$ 0
5774,5857,5784,P40. Articulaci贸n de la pol铆tica de bienestar institucional,"$ 243,669,887","$ 243,669,887"
5774,5858,5784,P41. Implementaci贸n de la pol铆tica de Bienestar Institucional,"$ 208,192,000","$ 165,667,538"
5774,5859,5784,P42. Acompa帽amiento Integral e Inclusi贸n con enfoque diferencial para la calidad de vida y el bienestar institucional,"$ 976,443,977","$ 930,315,046"
5774,5861,5784,P43. Seguimiento al bienestar institucional calidad de vida e inclusi贸n en contextos universitarios,"$ 265,329,310","$ 265,329,310"
5774,5862,5784,P44. Cultura desarrollo humano y deporte universitario como estilo de vida UTP,"$ 336,299,211","$ 336,299,211"
5774,5863,5784,P45. Cr茅ditos de formaci贸n Vivencial,"$ 5,120,000",$ 0
5774,5864,5784,P46. Gesti贸n para el fortalecimiento de la responsabilidad social el bienestar institucional y la calidad de vida,"$ 84,152,119","$ 63,846,845"
5774,5865,5784,P47. Protocolo log铆stica y eventos para la pertenencia los est铆mulos y el bienestar,"$ 82,562,525","$ 82,562,525"
5193,5224,5196,P1. Dise帽o y renovaci贸n curricular de los programas acad茅micos,"$ 40,465,803","$ 40,465,803"
5193,5225,5196,P2. Evaluaci贸n y aseguramiento de la calidad,"$ 189,452,087","$ 183,313,032"
5193,5226,5196,P3. Acceso e inserci贸n a la vida universitaria,"$ 97,273,524","$ 64,220,324"
5193,5227,5196,P4. Acompa帽amiento y seguimiento acad茅mico,"$ 274,958,498","$ 226,798,395"
5193,5228,5196,P5. Formaci贸n docente: avanzada continua y permanente,"$ 489,727,918","$ 425,905,636"
5193,5229,5196,P6. Acompa帽amiento al desarrollo del egresado,"$ 83,466,851","$ 83,466,851"
5193,5230,5196,P7. Vinculaci贸n de los egresados a los procesos institucionales,"$ 23,300,035","$ 23,300,035"
5193,5231,5196,P8. Aseguramiento de la infraestructura tecnologica para soportar los procesos de formaci贸n con TIC,"$ 12,194,450",$ 0
5193,5232,5196,P9. Desarrollo de Ecosistemas TIC enfocados a experiencias y ambientes educativos interactivos,"$ 8,626,534",$ 0
5193,5233,5196,P10. Formaci贸n Acad茅mica mediada por ambientes virtuales,"$ 57,951,803","$ 47,758,095"
5193,5234,5196,P11. Capacidad acad茅mica y administrativa que garantice la proyecci贸n de la Educaci贸n Superior con TIC,"$ 5,746,585","$ 5,746,585"
5193,5238,5197,P12. Fortalecimiento de la Investigaci贸n Institucional,"$ 1,338,312,935","$ 1,254,811,408"
5193,5239,5197,P13. Internacionalizaci贸n de la Investigaci贸n Innovaci贸n y Extensi贸n,"$ 17,000,000","$ 17,000,000"
5193,5240,5197,P14. Fomento y Fortalecimiento de la Extensi贸n Universitaria,"$ 584,455,906","$ 477,797,585"
5193,5241,5197,P15. Promoci贸n comercializaci贸n y transferencia de capacidades institucionales a trav茅s de la prestaci贸n de Servicios de Extensi贸n,"$ 69,000,000","$ 50,466,745"
5193,5242,5197,P16. Vinculaci贸n de los estudiantes en el entorno a trav茅s de las pr谩cticas universitarias,"$ 7,000,000","$ 7,000,000"
5193,5243,5197,P17. Consolidaci贸n de las capacidades institucionales para la Gesti贸n del conocimiento Innovaci贸n y Emprendimiento,"$ 241,063,279","$ 239,971,878"
5193,5244,5197,P18. Centro de innovaci贸n y desarrollo tecnol贸gico,$ 0,$ 0
5193,5245,5197,P19. Nodo de Innovaci贸n en Biodiversidad,$ 0,$ 0
5193,5246,5197,P20. Implementaci贸n del Centro de Desarrollo Tecnol贸gico con Enfoque en Agroindustria para el Departamento De Risaralda,$ 0,$ 0
5193,5247,5198,P21. Articulaci贸n interna para la participaci贸n en escenarios externos y el desarrollo profesional del egresado,"$ 100,403,076","$ 100,403,076"
5193,5248,5198,P22. Banco de proyectos para la gesti贸n institucional,"$ 88,852,670","$ 88,852,670"
5193,5249,5198,P23. UTP como territorio de paz convivencia ciudadan铆a y democracia,"$ 14,434,891","$ 14,434,891"
5193,5250,5198,P24. Ofertas acad茅micas gesti贸n de proyectos y alianzas para la ciudadan铆a la convivencia la democracia y la paz,"$ 20,137,636","$ 14,140,129"
5193,5251,5198,P25. Procesos de gesti贸n que aportan a la integraci贸n acad茅mica el desarrollo sostenible y la competitividad nacional,"$ 264,622,620","$ 262,293,859"
5193,5252,5198,P26. Movilizaci贸n social para la articulaci贸n de capacidades del territorio,"$ 130,181,229","$ 130,181,229"
5193,5253,5198,P27. Cooperaci贸n y movilidad nacional e internacional,"$ 206,347,903","$ 114,600,453"
5193,5254,5198,P28. Internacionalizaci贸n en casa,"$ 57,794,992","$ 42,240,000"
5193,5255,5199,P29. Sistema de Informaci贸n Institucional,"$ 978,224,632","$ 974,873,469"
5193,5256,5199,P30. Sostenibilidad de la Infraestructura Tecnol贸gica,"$ 6,475,678,699","$ 5,789,714,638"
5193,5257,5199,P31. Gesti贸n y sostenibilidad ambiental en el campus UTP,"$ 137,789,870","$ 136,138,026"
5193,5258,5199,P32. Gesti贸n integral de la infraestructura f铆sica,"$ 25,055,179,344","$ 17,677,379,077"
5193,5259,5199,P33. Gesti贸n y sostenibilidad de recursos,"$ 3,000,000","$ 3,000,000"
5193,5260,5199,P34. Eficiencia en el uso de los recursos,"$ 20,000,000","$ 20,000,000"
5193,5261,5199,P35. Gesti贸n del Desarrollo Humano,"$ 489,329,547","$ 481,211,232"
5193,5262,5199,P36. Modernizaci贸n y Desarrollo Organizacional,"$ 1,475,920","$ 1,475,920"
5193,5263,5199,P37. Consolidaci贸n de los Sistemas de Gesti贸n,"$ 27,974,478","$ 27,974,478"
5193,5264,5199,P38. Transparencia gobernanza y legalidad,"$ 60,057,151","$ 55,757,151"
5193,5265,5199,P39. Gesti贸n de la Comunicaci贸n y Promoci贸n Institucional,$ 0,$ 0
5193,5266,5200,P40. Articulaci贸n de la pol铆tica de bienestar institucional,$ 0,$ 0
5193,5267,5200,P41. Implementaci贸n de la pol铆tica de Bienestar Institucional,"$ 576,734,667","$ 328,586,563"
5193,5268,5200,P42. Acompa帽amiento Integral e Inclusi贸n con enfoque diferencial para la calidad de vida y el bienestar institucional,"$ 938,499,201","$ 834,624,702"
5193,5269,5200,P43. Seguimiento al bienestar institucional calidad de vida e inclusi贸n en contextos universitarios,"$ 164,422,949","$ 158,074,092"
5193,5270,5200,P44. Cultura desarrollo humano y deporte universitario como estilo de vida UTP,"$ 343,028,499","$ 323,966,448"
5193,5271,5200,P45. Cr茅ditos de formaci贸n Vivencial,"$ 67,739,128","$ 67,739,128"
5193,5272,5200,P46. Gesti贸n para el fortalecimiento de la responsabilidad social el bienestar institucional y la calidad de vida,"$ 75,150,762","$ 75,150,762"
5193,5273,5200,P47. Protocolo log铆stica y eventos para la pertenencia los est铆mulos y el bienestar,"$ 85,441,757","$ 85,441,757"
4697,4706,4700,P1. Dise帽o y renovaci贸n curricular de los programas acad茅micos,"$ 39,517,386","$ 39,192,000"
4697,4714,4700,P2. Evaluaci贸n y aseguramiento de la calidad,"$ 109,727,156","$ 101,815,758"
4697,4715,4700,P3. Acceso e inserci贸n a la vida universitaria,"$ 59,372,058","$ 59,109,810"
4697,4716,4700,P4. Acompa帽amiento y seguimiento acad茅mico,"$ 157,219,154","$ 154,571,041"
